epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1871.98,1.5201,1.36876,0.01089,0.71235,0.52764,0.61214,0.3506,1.52304,1.43366,0.01795,0.00191014,0.00191014,0.00191014
43,1915.19,1.51007,1.32652,0.01079,0.73586,0.50481,0.58526,0.33836,1.48145,1.58573,0.01715,0.00190578,0.00190578,0.00190578
44,1958.93,1.49188,1.32031,0.01053,0.66919,0.56165,0.61115,0.359,1.51109,1.44246,0.01862,0.00190132,0.00190132,0.00190132
45,2003.36,1.49507,1.32408,0.01053,0.64559,0.55612,0.59945,0.34681,1.50571,1.48217,0.01781,0.00189675,0.00189675,0.00189675
46,2046.48,1.48551,1.32325,0.01057,0.63977,0.57091,0.60862,0.34412,1.49746,1.40893,0.01759,0.0018921,0.0018921,0.0018921
47,2089.49,1.51071,1.30915,0.01063,0.70858,0.55168,0.63509,0.35968,1.49494,1.34954,0.01732,0.00188734,0.00188734,0.00188734
48,2133.27,1.483,1.31485,0.01031,0.65796,0.55409,0.61802,0.35385,1.54997,1.37462,0.01819,0.00188249,0.00188249,0.00188249
49,2177.1,1.48302,1.31589,0.01055,0.66629,0.53994,0.59632,0.33889,1.51625,1.45256,0.0172,0.00187754,0.00187754,0.00187754
50,2221.14,1.49402,1.29844,0.01074,0.71325,0.48558,0.59556,0.34184,1.58358,1.45929,0.01866,0.0018725,0.0018725,0.0018725
51,2264.35,1.4839,1.29582,0.01015,0.67801,0.52136,0.5896,0.34611,1.48824,1.50752,0.01666,0.00186737,0.00186737,0.00186737
52,2308.6,1.46975,1.28648,0.01013,0.68757,0.5601,0.62492,0.36223,1.51388,1.40114,0.0185,0.00186213,0.00186213,0.00186213
53,2352.01,1.48705,1.28796,0.01015,0.71996,0.53125,0.61979,0.35674,1.55303,1.44407,0.01799,0.00185681,0.00185681,0.00185681
54,2395,1.4678,1.25362,0.01024,0.67564,0.52404,0.60883,0.35237,1.45336,1.54586,0.01626,0.00185139,0.00185139,0.00185139
55,2439.33,1.48245,1.26132,0.01003,0.68659,0.56874,0.62847,0.36599,1.52749,1.39468,0.01838,0.00184588,0.00184588,0.00184588
56,2483.45,1.44425,1.2555,0.01015,0.68708,0.53966,0.6001,0.34201,1.55696,1.47205,0.01994,0.00184028,0.00184028,0.00184028
57,2526.86,1.47444,1.27552,0.01043,0.65824,0.55557,0.61754,0.36693,1.42687,1.44093,0.01624,0.00183459,0.00183459,0.00183459
58,2571.29,1.47827,1.25653,0.01008,0.70806,0.55409,0.61868,0.35653,1.5345,1.3703,0.01748,0.00182881,0.00182881,0.00182881
59,2614.92,1.44558,1.241,0.01032,0.70604,0.54087,0.60834,0.35795,1.51979,1.42376,0.0176,0.00182294,0.00182294,0.00182294
60,2658.87,1.459,1.25359,0.00987,0.72756,0.56172,0.63651,0.37377,1.5366,1.3767,0.01744,0.00181698,0.00181698,0.00181698
61,2701.62,1.44946,1.22989,0.00994,0.68478,0.58413,0.64061,0.38018,1.45769,1.32534,0.01614,0.00181093,0.00181093,0.00181093
62,2744.5,1.46315,1.25343,0.00996,0.70061,0.57378,0.62727,0.35616,1.57509,1.40154,0.01913,0.00180479,0.00180479,0.00180479
63,2788.59,1.41755,1.2106,0.00989,0.66817,0.56632,0.62314,0.35904,1.59421,1.29089,0.01869,0.00179856,0.00179856,0.00179856
64,2831.92,1.43916,1.24179,0.00982,0.69535,0.51923,0.5965,0.34326,1.57269,1.40736,0.01861,0.00179225,0.00179225,0.00179225
65,2875.38,1.4517,1.23111,0.00962,0.70483,0.58293,0.644,0.3802,1.49444,1.28409,0.0165,0.00178586,0.00178586,0.00178586
66,2919.4,1.42742,1.21479,0.00988,0.76199,0.50841,0.61856,0.36602,1.49372,1.36165,0.01673,0.00177937,0.00177937,0.00177937
67,2963.4,1.46246,1.20922,0.00987,0.71318,0.56731,0.63884,0.37738,1.51961,1.4204,0.01783,0.00177281,0.00177281,0.00177281
68,3006.56,1.45332,1.22836,0.00991,0.72008,0.52404,0.61235,0.368,1.54544,1.46108,0.01872,0.00176616,0.00176616,0.00176616
69,3049.39,1.42449,1.1913,0.00984,0.71944,0.5601,0.6246,0.36989,1.46526,1.46836,0.0168,0.00175943,0.00175943,0.00175943
70,3093.66,1.4315,1.19405,0.00971,0.68786,0.57477,0.63891,0.3801,1.40802,1.31776,0.01577,0.00175261,0.00175261,0.00175261
71,3138.97,1.44309,1.19488,0.00978,0.67826,0.54808,0.60367,0.34797,1.53199,1.41137,0.01787,0.00174571,0.00174571,0.00174571
72,3185.02,1.41847,1.14946,0.00959,0.7162,0.56851,0.64605,0.38595,1.47989,1.2123,0.01629,0.00173874,0.00173874,0.00173874
73,3232.32,1.42448,1.15673,0.00946,0.71469,0.57572,0.65064,0.37371,1.52062,1.21568,0.0171,0.00173168,0.00173168,0.00173168
74,3277.81,1.40208,1.1658,0.0095,0.67668,0.60697,0.64493,0.38386,1.43194,1.30308,0.01542,0.00172454,0.00172454,0.00172454
75,3323.82,1.41312,1.15502,0.00936,0.69216,0.58913,0.64073,0.37468,1.55854,1.39478,0.0181,0.00171733,0.00171733,0.00171733
76,3368.7,1.39827,1.14869,0.00958,0.67974,0.54591,0.61495,0.35996,1.50303,1.55186,0.01786,0.00171004,0.00171004,0.00171004
77,3414.13,1.39973,1.16246,0.00977,0.68693,0.56851,0.62586,0.34749,1.60652,1.31397,0.0184,0.00170267,0.00170267,0.00170267
78,3459.04,1.41119,1.15192,0.00947,0.71696,0.55409,0.63503,0.37424,1.57391,1.40976,0.01865,0.00169522,0.00169522,0.00169522
79,3504.58,1.39994,1.15618,0.00958,0.688,0.59135,0.64137,0.3751,1.5167,1.325,0.01755,0.0016877,0.0016877,0.0016877
80,3550.24,1.39046,1.14557,0.00939,0.73067,0.5649,0.64264,0.37903,1.54816,1.30152,0.01752,0.00168011,0.00168011,0.00168011
81,3594.66,1.41749,1.14839,0.00923,0.69252,0.57119,0.63571,0.37152,1.5442,1.32299,0.01771,0.00167244,0.00167244,0.00167244
82,3640.93,1.38889,1.12731,0.00945,0.6941,0.55769,0.62931,0.36704,1.48749,1.40209,0.01636,0.0016647,0.0016647,0.0016647
83,3686.74,1.38126,1.1149,0.00924,0.67513,0.58894,0.63194,0.37404,1.49095,1.41706,0.01747,0.00165689,0.00165689,0.00165689
84,3730.89,1.38697,1.11792,0.00942,0.67898,0.58293,0.63073,0.36911,1.52179,1.31476,0.01748,0.001649,0.001649,0.001649
85,3775.57,1.39619,1.11747,0.00957,0.6987,0.57091,0.63029,0.3805,1.49581,1.31939,0.01655,0.00164105,0.00164105,0.00164105
86,3821.23,1.36685,1.10938,0.00945,0.76012,0.52644,0.62571,0.36927,1.55286,1.36517,0.01703,0.00163303,0.00163303,0.00163303
87,3866.63,1.38598,1.11165,0.00898,0.73334,0.55532,0.63331,0.37352,1.51419,1.43094,0.01692,0.00162494,0.00162494,0.00162494
